timestamp,gtr,gtr-norm,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1692540900,,0.7545876622647391,4.0,2918,593.0,2023-08-20 14:15:00+00:00,2023-08-20 14:15:00+00:00,0
1692541200,,0.7545876622647391,6.0,2918,585.0,2023-08-20 14:20:00+00:00,2023-08-20 14:20:00+00:00,0
1692541500,,0.7545876622647391,5.8,2918,585.0,2023-08-20 14:25:00+00:00,2023-08-20 14:25:00+00:00,0
1692541800,3617893437.0,0.720825971240089,5.6,2918,602.0,2023-08-20 14:30:00+00:00,2023-08-20 14:30:00+00:00,0
1692542100,,0.720825971240089,6.4,2918,602.0,2023-08-20 14:35:00+00:00,2023-08-20 14:35:00+00:00,0
1692542400,,0.720825971240089,3.8,2918,601.0,2023-08-20 14:40:00+00:00,2023-08-20 14:40:00+00:00,0
1692542700,,0.720825971240089,6.0,2918,601.0,2023-08-20 14:45:00+00:00,2023-08-20 14:45:00+00:00,0
1692543000,,0.720825971240089,3.6,2918,588.0,2023-08-20 14:50:00+00:00,2023-08-20 14:50:00+00:00,0
1692543300,,0.720825971240089,4.8,2918,588.0,2023-08-20 14:55:00+00:00,2023-08-20 14:55:00+00:00,0
1692543600,3447142708.0,0.6990529180379766,3.6,2918,588.0,2023-08-20 15:00:00+00:00,2023-08-20 15:00:00+00:00,0
1692543900,,0.6990529180379766,4.0,2919,588.0,2023-08-20 15:05:00+00:00,2023-08-20 15:05:00+00:00,0
1692544200,,0.6990529180379766,6.0,2919,605.0,2023-08-20 15:10:00+00:00,2023-08-20 15:10:00+00:00,0
1692544500,,0.6990529180379766,6.2,2919,605.0,2023-08-20 15:15:00+00:00,2023-08-20 15:15:00+00:00,0
1692544800,,0.6990529180379766,4.2,2919,602.0,2023-08-20 15:20:00+00:00,2023-08-20 15:20:00+00:00,0
1692545100,,0.6990529180379766,5.0,2919,602.0,2023-08-20 15:25:00+00:00,2023-08-20 15:25:00+00:00,0
1692545400,3381065625.0,0.6879609064534958,4.2,2919,605.0,2023-08-20 15:30:00+00:00,2023-08-20 15:30:00+00:00,0
1692545700,,0.6879609064534958,3.0,2920,605.0,2023-08-20 15:35:00+00:00,2023-08-20 15:35:00+00:00,0
1692546000,,0.6879609064534958,3.4,2920,608.0,2023-08-20 15:40:00+00:00,2023-08-20 15:40:00+00:00,0
1692546300,,0.6879609064534958,4.6,2920,608.0,2023-08-20 15:45:00+00:00,2023-08-20 15:45:00+00:00,0
1692546600,,0.6879609064534958,4.8,2920,602.0,2023-08-20 15:50:00+00:00,2023-08-20 15:50:00+00:00,0
1692546900,,0.6879609064534958,4.6,2920,602.0,2023-08-20 15:55:00+00:00,2023-08-20 15:55:00+00:00,0
1692547200,3281085729.0,0.7027292447070691,5.2,2920,599.0,2023-08-20 16:00:00+00:00,2023-08-20 16:00:00+00:00,0
1692547500,,0.7027292447070691,4.4,2920,599.0,2023-08-20 16:05:00+00:00,2023-08-20 16:05:00+00:00,0
1692547800,,0.7027292447070691,4.0,2920,611.0,2023-08-20 16:10:00+00:00,2023-08-20 16:10:00+00:00,0
1692548100,,0.7027292447070691,6.4,2920,611.0,2023-08-20 16:15:00+00:00,2023-08-20 16:15:00+00:00,0
1692548400,,0.7027292447070691,5.0,2920,594.0,2023-08-20 16:20:00+00:00,2023-08-20 16:20:00+00:00,0
1692548700,,0.7027292447070691,5.8,2920,594.0,2023-08-20 16:25:00+00:00,2023-08-20 16:25:00+00:00,0
1692549000,3351180937.0,0.7454718304298544,6.8,2920,595.0,2023-08-20 16:30:00+00:00,2023-08-20 16:30:00+00:00,0
1692549300,,0.7454718304298544,6.2,2920,595.0,2023-08-20 16:35:00+00:00,2023-08-20 16:35:00+00:00,0
